recommendation_rank,target_player_id,target_player_name,target_team,target_position,age,minutes,weighted_rating,market_value,market_value_currency,overall_similarity_pct,affordability_score_pct,age_score_pct,confidence_score_pct,transfer_value_score_pct,market_value_difference,market_value_ratio,discount_vs_target_pct,is_cheaper_than_target,is_younger_than_target
1,1019322,Florian Wirtz,Germany,M,23.2,363.0,7.6820936639118464,95000000.0,EUR,86.55,60.25,100.0,66.85,81.97,-49000000.0,0.66,34.03,True,True
2,1100952,Andreas Schjelderup,Norway,M,22.1,251.0,7.371713147410359,31000000.0,EUR,68.79,82.29,100.0,58.24,73.77,-113000000.0,0.215,78.47,True,True
3,901325,Nicolás González,Argentina,M,28.3,182.0,6.869780219780219,23000000.0,EUR,67.5,86.23,63.0,50.28,70.54,-121000000.0,0.16,84.03,True,False
4,217704,Sadio Mané,Senegal,M,34.3,364.0,6.9010989010989015,5600000.0,EUR,69.09,96.26,3.0,66.91,69.19,-138400000.0,0.039,96.11,True,False
5,1518931,Johan Manzambi,Switzerland,M,20.7,200.0,7.772,54000000.0,EUR,63.35,72.73,100.0,52.63,67.94,-90000000.0,0.375,62.5,True,True
6,835485,Brahim Díaz,Morocco,M,26.9,462.0,6.851298701298702,37000000.0,EUR,59.94,79.56,77.0,71.96,65.47,-107000000.0,0.257,74.31,True,False
7,872919,Rubén Vargas,Switzerland,M,27.9,289.0,7.426989619377163,11100000.0,EUR,57.2,92.84,67.0,61.62,65.2,-132900000.0,0.077,92.29,True,False
8,547410,Martin Ødegaard,Norway,M,27.6,471.0,6.926114649681528,71000000.0,EUR,63.68,66.98,70.0,72.35,65.02,-73000000.0,0.493,50.69,True,False
9,975798,Malik Tillman,USA,M,24.1,365.0,7.486301369863014,27000000.0,EUR,53.93,84.21,100.0,66.97,63.93,-117000000.0,0.188,81.25,True,True
10,1091116,Arda Güler,Türkiye,M,21.4,270.0,7.6,87000000.0,EUR,59.88,62.34,100.0,60.0,63.58,-57000000.0,0.604,39.58,True,True
11,971037,Amad Diallo,Côte d'Ivoire,M,24.0,184.0,7.383152173913044,44000000.0,EUR,55.48,76.6,100.0,50.55,63.17,-100000000.0,0.306,69.44,True,True
12,1402912,Lamine Yamal,Spain,M,19.0,405.0,7.248641975308642,215000000.0,EUR,64.76,40.11,100.0,69.23,62.74,71000000.0,1.493,-49.31,False,True
13,866469,Bruno Guimarães,Brazil,M,28.7,419.0,7.150119331742244,72000000.0,EUR,60.35,66.67,59.0,69.95,61.7,-72000000.0,0.5,50.0,True,False
14,159665,Mohamed Salah,Egypt,M,34.1,428.0,7.244392523364485,21000000.0,EUR,60.36,87.27,5.0,70.39,61.51,-123000000.0,0.146,85.42,True,False
15,1093229,Nathan-Dylan Saliba,Canada,M,22.4,182.0,7.420329670329671,6900000.0,EUR,47.13,95.43,100.0,50.28,61.08,-137100000.0,0.048,95.21,True,True
